seq_num,date_yymm,date_dd,lysate_lot,so_mm_lot_a,so_mm_lot_b,mscarlett_lot,reaction_volume_ml,kits_1ml,kits_10ml,kits_100ml,version,lot_number,product_version,cf_size1,cf_size2,cf_size3,expiry_date,internal,labels_1ml,labels_10ml,labels_100ml,coa,old_lot_number,plasmid
1,2504,10,,,,,,,,,1,CF-2504-1-1,,,,,260410,,,,,,20250410_006,
2,2508,20,,,,,,,,,1,CF-2508-1-2,,,,,260820,,,,,,202508_01,
3,2509,17,,,,,,,,,1,CF-2509-1-3,,,,,260917,,,,,,,
4,2510,31,20251024-12-L,20251103-5-MM-A,20251031-4-MM-B,20251023-1-P,105,65,4,,1,CF-2510-1-4,"CF001, CF002",CF001,CF002,,261031,,CF-2510-1-4  1mL kit,CF-2510-1-4 10mL kits,,CF-2510-1-4 CoA,,x
5,2511,6,20251024-12-L,20251029-1-MM-A,20251103-6-MM-B,20251023-1-P,100,,,1,1,CF-2511-1-5,CF003,,,CF003,26116,,CF-2511-1-5 1mL kit,CF-2511-1-5 10mL kits,,CF-2511-1-5 COA,,x
6,2511,6,20251024-12-L,20251103-5-MM-A,20251103-6-MM-B,20251023-1-P,240,35,14,,1,CF-2511-1-6,"CF001, CF002",CF001,CF002,,26116,,CF-2511-1  1mL kit,CF-2511-1-6 10mL kits,,CF-2511-1-6 CoA,,
7,2512,12,20251125-14-L,20251210-9-MM-A,20251210-10-MM-B,20251023-1-P,110,,11,,1,CF-2512-1-7,CF002,,CF002,,261212,,CF-2512-1-7  1mL kit,CF-2512-1-7 10mL kits,CF-2512-1-7 100mL kits,CF-2512-1-7 COA,,
8,2512,12,20251209-15-L,20251215-11-MM-A,20251215-12-MM-B,20251023-1-P,168,,,2,1,CF-2512-1-8,CF003,,,CF003,261212,,,,CF-2512-1-8 100mL kits,,,
9,2602,11,20251125-14-L,20260206-18-MM-D,,20251023-1-P,,,6,,3,CF-2602-3-9,CF012,,CF012,,261125,,,CF-2602-3-9,,,,
10,2602,11,20251209-15-L,20260206-18-MM-D,,20251023-1-P,,,4,,3,CF-2602-3-10,CF012,,CF012,,261209,,,CF-2602-3-9,,,,
11,2602,11,20260121-17-L,20260206-18-MM-D,,20251023-1-P,,40,,,3,CF-2602-3-11,CF011,CF011,,,270121,,,2602-3-11 CFPS Economy 1 mL Kits,,,,
12,2602,11,20251209-15-L,20260210-19-MM-C,,20251023-1-P,,2,2,1,4,CF-2602-4-12,"CF101, CF102",CF101,CF102,CF103,270121,"40 Internal, 60 total",Template: CFPS Ready96 kit CF101-CF103,Template: CFPS Ready96 kit CF101-CF103,,no,,Control Plasmid Label
13,2602,18,20260121-17-L,20260210-19-MM-C,,20251023-1-P,,3,,,4,CF-2602-4-13,CF101,CF101,,,270218,3 total internal,CF-2602-4-13: CFPS Ready96 kit CF101,,,,,
14,2603,24,20260316-21-L,20260320-23-MM-C,,20251023-1-P,,,,,4,CF-2603-4-14,"CF101, CF001",CF101,,,270324,35 internal,,,,,,
15,2604,2,20260326-L-22,20260327-25-MM-C,,20251023-1-P,,,,,4,CF-2604-4-15,"CF101, CF001",CF101,,,27042,34 internal,,,,,,
16,2604,3,20260326-L-22,20260327-25-MM-C,,20251023-1-P,,,,,4,CF-2604-4-16,"CF101, CF001",,,,27043,,27043,,,,,
